"","date","yn","day","night","dd","rate","d_rate","n_rate","dd_rate","month","year"
"89",2015-10-30,0,0,0,0,0,0,0,0,10,2015
"90",2015-10-31,1,1,0,0,0.458333333333333,1.0410094637224,0,0,10,2015
"91",2015-11-01,1,1,1,1,65.875,0.569695371225109,125.213581599124,71.027027027027,11,2015
"92",2015-11-02,0,0,0,0,0,0,0,0,11,2015
"93",2015-11-03,0,0,0,0,0,0,0,0,11,2015
"94",2015-11-04,0,0,0,0,0,0,0,0,11,2015
"95",2015-11-05,0,0,0,0,0,0,0,0,11,2015
"96",2015-11-06,0,0,0,0,0,0,0,0,11,2015
"97",2015-11-07,0,0,0,0,0,0,0,0,11,2015
"98",2015-11-08,1,1,0,0,0.416666666666667,0.97113568923658,0,0,11,2015
"99",2015-11-09,0,0,0,0,0,0,0,0,11,2015
"100",2015-11-10,0,0,0,0,0,0,0,0,11,2015
"101",2015-11-11,1,1,0,0,16.5,38.8182437031995,0,0,11,2015
"102",2015-11-12,1,1,1,0,37.4011645724793,148.187399030695,3.49473185746419,0,11,2015
"103",2015-11-13,1,1,1,0,6.34913267970064,0.595123295219727,12.4167257264352,0,11,2015
"104",2015-11-14,1,1,0,0,1.13504992117709,9.12676056338028,0,0,11,2015
"105",2015-11-16,0,0,0,0,0,0,0,0,11,2015
"106",2015-11-17,0,0,0,0,0,0,0,0,11,2015
"107",2015-11-18,0,0,0,0,0,0,0,0,11,2015
"108",2015-11-19,0,0,0,0,0,0,0,0,11,2015
"109",2015-11-20,1,1,1,1,69.5416666666667,131.503633314701,21.2060535506403,51.1603650586701,11,2015
"110",2015-11-21,0,0,0,0,0,0,0,0,11,2015
"111",2015-11-22,1,1,0,0,2.375,5.76485461441214,0,0,11,2015
"112",2015-11-23,1,1,1,0,30.0416666666667,68.6438529784537,3.66751562861774,0,11,2015
"113",2015-11-24,1,0,1,0,3.08333333333333,0,6.15740205709003,0,11,2015
"114",2015-11-25,1,1,1,1,53.1679007404443,161.23901213897,0.747663551401869,13.0401034928849,11,2015
"115",2015-11-26,1,1,1,0,193,270.944680851064,164.137772146066,0,11,2015
"116",2015-11-27,1,1,1,1,27.0359853972301,29.0629011553273,23.2712215320911,38.9690721649485,11,2015
"117",2015-11-28,1,1,1,1,53.419893345699,20.9290396124252,67.2518382352941,123.764705882353,11,2015
"118",2015-11-29,1,1,1,1,23.0833333333333,22.1048122233329,6.19266055045872,122.080924855491,11,2015
"119",2015-11-30,1,1,1,0,43,93.039496279336,10.6355204397114,0,11,2015
"120",2015-12-01,1,1,1,0,18.1856100104275,1.44910868315124,34.7483989021043,0,12,2015
"121",2015-12-02,1,1,0,1,2.7646230641239,5.96722546618949,0,7.3704414587332,12,2015
"122",2015-12-03,0,0,0,0,0,0,0,0,12,2015
"123",2015-12-04,1,1,1,1,244.958333333333,347.024221453287,147.347310847767,339.795918367347,12,2015
"124",2015-12-05,1,1,1,1,151.916666666667,31.0918544194107,209.132711131345,364.585987261146,12,2015
"125",2015-12-06,1,1,1,0,31.0833333333333,44.0561261391581,26.4453036161019,0,12,2015
"126",2015-12-07,1,1,1,1,25.625,8.65710560625815,41.462971376647,11.4431023521933,12,2015
"127",2015-12-08,1,1,1,1,55,79.3848832148556,34.3985474353155,63.5428571428571,12,2015
"128",2015-12-09,1,1,1,1,91.5,201.888711317739,20.4921192879011,6.84410646387833,12,2015
