Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	4287.071968750	4287.079968750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	4287.071968750	4287.079968750	1400.000	4000.000	1.0000
2	Waveform 1	1	5124.055968750	5124.063968750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	5124.055968750	5124.063968750	1400.000	4000.000	1.0000
3	Waveform 1	1	5372.711968750	5372.719968750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	5372.711968750	5372.719968750	1400.000	4000.000	1.0000
4	Waveform 1	1	9779.911968750	9779.919968750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	9779.911968750	9779.919968750	1400.000	4000.000	1.0000
5	Waveform 1	1	9893.431968750	9893.439968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	9893.431968750	9893.439968750	1400.000	4000.000	1.0000
6	Waveform 1	1	10064.791968750	10064.799968750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	10064.791968750	10064.799968750	1400.000	4000.000	1.0000
7	Waveform 1	1	13342.583968750	13342.591968750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	13342.583968750	13342.591968750	1400.000	4000.000	1.0000
8	Waveform 1	1	13946.655968750	13946.671968750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	13946.655968750	13946.671968750	1400.000	4000.000	1.0000
9	Waveform 1	1	14374.735968750	14374.743968750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	14374.735968750	14374.743968750	1400.000	4000.000	1.0000
10	Waveform 1	1	15054.343968750	15054.351968750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	15054.343968750	15054.351968750	1400.000	4000.000	1.0000
11	Waveform 1	1	15435.879968750	15435.887968750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	15435.879968750	15435.887968750	1400.000	4000.000	1.0000
12	Waveform 1	1	17342.327968750	17342.343968750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	17342.327968750	17342.343968750	1400.000	4000.000	1.0000
13	Waveform 1	1	17986.807968750	17986.815968750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	17986.807968750	17986.815968750	1400.000	4000.000	1.0000
14	Waveform 1	1	18073.903968750	18073.911968750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	18073.903968750	18073.911968750	1400.000	4000.000	1.0000
15	Waveform 1	1	18234.343968750	18234.351968750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	18234.343968750	18234.351968750	1400.000	4000.000	1.0000
16	Waveform 1	1	18256.423968750	18256.431968750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	18256.423968750	18256.431968750	1400.000	4000.000	1.0000
17	Waveform 1	1	18335.775968750	18335.783968750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	18335.775968750	18335.783968750	1400.000	4000.000	1.0000
18	Waveform 1	1	18335.951968750	18335.959968750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	18335.951968750	18335.959968750	1400.000	4000.000	1.0000
19	Waveform 1	1	18336.295968750	18336.303968750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	18336.295968750	18336.303968750	1400.000	4000.000	1.0000
20	Waveform 1	1	18401.967968750	18401.975968750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	18401.967968750	18401.975968750	1400.000	4000.000	1.0000
21	Waveform 1	1	18404.151968750	18404.159968750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	18404.151968750	18404.159968750	1400.000	4000.000	1.0000
22	Waveform 1	1	18539.895968750	18539.903968750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	18539.895968750	18539.903968750	1400.000	4000.000	1.0000
23	Waveform 1	1	18544.935968750	18544.943968750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	18544.935968750	18544.943968750	1400.000	4000.000	1.0000
24	Waveform 1	1	19083.007968750	19083.015968750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	19083.007968750	19083.015968750	1400.000	4000.000	1.0000
25	Waveform 1	1	19135.127968750	19135.135968750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	19135.127968750	19135.135968750	1400.000	4000.000	1.0000
26	Waveform 1	1	19142.247968750	19142.255968750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	19142.247968750	19142.255968750	1400.000	4000.000	1.0000
27	Waveform 1	1	19144.215968750	19144.223968750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	19144.215968750	19144.223968750	1400.000	4000.000	1.0000
28	Waveform 1	1	19149.927968750	19149.935968750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	19149.927968750	19149.935968750	1400.000	4000.000	1.0000
29	Waveform 1	1	19151.207968750	19151.215968750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	19151.207968750	19151.215968750	1400.000	4000.000	1.0000
30	Waveform 1	1	19357.711968750	19357.719968750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	19357.711968750	19357.719968750	1400.000	4000.000	1.0000
31	Waveform 1	1	19361.247968750	19361.255968750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	19361.247968750	19361.255968750	1400.000	4000.000	1.0000
