Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	78.535968750	78.543968750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	78.535968750	78.543968750	1400.000	4000.000	1.0000
2	Waveform 1	1	78.575968750	78.583968750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	78.575968750	78.583968750	1400.000	4000.000	1.0000
3	Waveform 1	1	78.839968750	78.871968750	1400.000	4000.000	0.7500
3	Spectrogram 1	1	78.839968750	78.871968750	1400.000	4000.000	0.7500
4	Waveform 1	1	78.903968750	78.911968750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	78.903968750	78.911968750	1400.000	4000.000	1.0000
5	Waveform 1	1	78.983968750	78.991968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	78.983968750	78.991968750	1400.000	4000.000	1.0000
6	Waveform 1	1	234.599968750	234.615968750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	234.599968750	234.615968750	1400.000	4000.000	1.0000
7	Waveform 1	1	322.271968750	322.279968750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	322.271968750	322.279968750	1400.000	4000.000	1.0000
8	Waveform 1	1	322.623968750	322.631968750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	322.623968750	322.631968750	1400.000	4000.000	1.0000
9	Waveform 1	1	2024.063968750	2024.071968750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	2024.063968750	2024.071968750	1400.000	4000.000	1.0000
10	Waveform 1	1	2476.919968750	2476.927968750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	2476.919968750	2476.927968750	1400.000	4000.000	1.0000
11	Waveform 1	1	2552.519968750	2552.527968750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	2552.519968750	2552.527968750	1400.000	4000.000	1.0000
12	Waveform 1	1	2575.183968750	2575.191968750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	2575.183968750	2575.191968750	1400.000	4000.000	1.0000
13	Waveform 1	1	5785.927968750	5785.935968750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	5785.927968750	5785.935968750	1400.000	4000.000	1.0000
14	Waveform 1	1	6302.807968750	6302.815968750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	6302.807968750	6302.815968750	1400.000	4000.000	1.0000
15	Waveform 1	1	8001.895968750	8001.903968750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	8001.895968750	8001.903968750	1400.000	4000.000	1.0000
16	Waveform 1	1	11317.671968750	11317.679968750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	11317.671968750	11317.679968750	1400.000	4000.000	1.0000
17	Waveform 1	1	11712.135968750	11712.143968750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	11712.135968750	11712.143968750	1400.000	4000.000	1.0000
18	Waveform 1	1	12026.679968750	12026.687968750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	12026.679968750	12026.687968750	1400.000	4000.000	1.0000
19	Waveform 1	1	12035.847968750	12035.855968750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	12035.847968750	12035.855968750	1400.000	4000.000	1.0000
20	Waveform 1	1	12045.127968750	12045.135968750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	12045.127968750	12045.135968750	1400.000	4000.000	1.0000
21	Waveform 1	1	12046.927968750	12046.935968750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	12046.927968750	12046.935968750	1400.000	4000.000	1.0000
22	Waveform 1	1	12464.655968750	12464.663968750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	12464.655968750	12464.663968750	1400.000	4000.000	1.0000
23	Waveform 1	1	12615.079968750	12615.087968750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	12615.079968750	12615.087968750	1400.000	4000.000	1.0000
24	Waveform 1	1	12691.719968750	12691.727968750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	12691.719968750	12691.727968750	1400.000	4000.000	1.0000
25	Waveform 1	1	12890.519968750	12890.527968750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	12890.519968750	12890.527968750	1400.000	4000.000	1.0000
26	Waveform 1	1	12898.903968750	12898.911968750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	12898.903968750	12898.911968750	1400.000	4000.000	1.0000
27	Waveform 1	1	12974.487968750	12974.495968750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	12974.487968750	12974.495968750	1400.000	4000.000	1.0000
28	Waveform 1	1	13112.183968750	13112.191968750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	13112.183968750	13112.191968750	1400.000	4000.000	1.0000
29	Waveform 1	1	13140.631968750	13140.639968750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	13140.631968750	13140.639968750	1400.000	4000.000	1.0000
30	Waveform 1	1	13232.535968750	13232.543968750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	13232.535968750	13232.543968750	1400.000	4000.000	1.0000
31	Waveform 1	1	13348.391968750	13348.399968750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	13348.391968750	13348.399968750	1400.000	4000.000	1.0000
32	Waveform 1	1	13450.615968750	13450.623968750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	13450.615968750	13450.623968750	1400.000	4000.000	1.0000
33	Waveform 1	1	13559.567968750	13559.575968750	1400.000	4000.000	1.0000
33	Spectrogram 1	1	13559.567968750	13559.575968750	1400.000	4000.000	1.0000
34	Waveform 1	1	13559.951968750	13559.959968750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	13559.951968750	13559.959968750	1400.000	4000.000	1.0000
35	Waveform 1	1	13793.415968750	13793.423968750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	13793.415968750	13793.423968750	1400.000	4000.000	1.0000
36	Waveform 1	1	14403.007968750	14403.015968750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	14403.007968750	14403.015968750	1400.000	4000.000	1.0000
37	Waveform 1	1	14584.231968750	14584.239968750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	14584.231968750	14584.239968750	1400.000	4000.000	1.0000
38	Waveform 1	1	14654.743968750	14654.751968750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	14654.743968750	14654.751968750	1400.000	4000.000	1.0000
39	Waveform 1	1	14761.839968750	14761.847968750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	14761.839968750	14761.847968750	1400.000	4000.000	1.0000
40	Waveform 1	1	15025.687968750	15025.695968750	1400.000	4000.000	1.0000
40	Spectrogram 1	1	15025.687968750	15025.695968750	1400.000	4000.000	1.0000
41	Waveform 1	1	15079.375968750	15079.383968750	1400.000	4000.000	1.0000
41	Spectrogram 1	1	15079.375968750	15079.383968750	1400.000	4000.000	1.0000
42	Waveform 1	1	15217.743968750	15217.751968750	1400.000	4000.000	1.0000
42	Spectrogram 1	1	15217.743968750	15217.751968750	1400.000	4000.000	1.0000
