Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	587.511968750	587.526593750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	587.511968750	587.526593750	1400.000	4000.000	1.0000
2	Waveform 1	1	587.620843750	587.632218750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	587.620843750	587.632218750	1400.000	4000.000	1.0000
3	Waveform 1	1	668.032343750	668.043718750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	668.032343750	668.043718750	1400.000	4000.000	1.0000
4	Waveform 1	1	2009.728218750	2009.742843750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	2009.728218750	2009.742843750	1400.000	4000.000	1.0000
5	Waveform 1	1	2164.928718750	2164.940093750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	2164.928718750	2164.940093750	1400.000	4000.000	1.0000
6	Waveform 1	1	2189.965093750	2189.976468750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	2189.965093750	2189.976468750	1400.000	4000.000	1.0000
7	Waveform 1	1	2231.283968750	2231.295343750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	2231.283968750	2231.295343750	1400.000	4000.000	1.0000
8	Waveform 1	1	2279.959218750	2279.970593750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	2279.959218750	2279.970593750	1400.000	4000.000	1.0000
9	Waveform 1	1	2409.502593750	2409.523718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	2409.502593750	2409.523718750	1400.000	4000.000	1.0000
10	Waveform 1	1	2410.045343750	2410.061593750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	2410.045343750	2410.061593750	1400.000	4000.000	1.0000
11	Waveform 1	1	2450.429843750	2450.450968750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	2450.429843750	2450.450968750	1400.000	4000.000	1.0000
12	Waveform 1	1	2450.977468750	2450.990468750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	2450.977468750	2450.990468750	1400.000	4000.000	1.0000
13	Waveform 1	1	2478.584593750	2478.610593750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	2478.584593750	2478.610593750	1400.000	4000.000	1.0000
14	Waveform 1	1	2479.133843750	2479.166343750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	2479.133843750	2479.166343750	1400.000	4000.000	1.0000
15	Waveform 1	1	2499.638093750	2499.646218750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	2499.638093750	2499.646218750	1400.000	4000.000	1.0000
16	Waveform 1	1	2806.824843750	2806.836218750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	2806.824843750	2806.836218750	1400.000	4000.000	1.0000
17	Waveform 1	1	3211.207718750	3211.215843750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	3211.207718750	3211.215843750	1400.000	4000.000	1.0000
18	Waveform 1	1	3458.622093750	3458.635093750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	3458.622093750	3458.635093750	1400.000	4000.000	1.0000
19	Waveform 1	1	3858.524843750	3858.537843750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	3858.524843750	3858.537843750	1400.000	4000.000	1.0000
20	Waveform 1	1	4160.097218750	4160.111843750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	4160.097218750	4160.111843750	1400.000	4000.000	1.0000
