Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	2333.013843750	2333.026843750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	2333.013843750	2333.026843750	1400.000	4000.000	1.0000
2	Waveform 1	1	2402.433843750	2402.459843750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	2402.433843750	2402.459843750	1400.000	4000.000	1.0000
3	Waveform 1	1	2420.585093750	2420.599718750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	2420.585093750	2420.599718750	1400.000	4000.000	1.0000
4	Waveform 1	1	2433.156093750	2433.178843750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	2433.156093750	2433.178843750	1400.000	4000.000	1.0000
5	Waveform 1	1	2433.601343750	2433.615968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	2433.601343750	2433.615968750	1400.000	4000.000	1.0000
6	Waveform 1	1	2435.681343750	2435.702468750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	2435.681343750	2435.702468750	1400.000	4000.000	1.0000
7	Waveform 1	1	2442.571343750	2442.590843750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	2442.571343750	2442.590843750	1400.000	4000.000	1.0000
8	Waveform 1	1	2451.217968750	2451.239093750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	2451.217968750	2451.239093750	1400.000	4000.000	1.0000
9	Waveform 1	1	2451.806218750	2451.822468750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	2451.806218750	2451.822468750	1400.000	4000.000	1.0000
10	Waveform 1	1	2483.480718750	2483.508343750	1400.000	4000.000	0.8824
10	Spectrogram 1	1	2483.480718750	2483.508343750	1400.000	4000.000	0.8824
11	Waveform 1	1	2511.568843750	2511.576968750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	2511.568843750	2511.576968750	1400.000	4000.000	1.0000
12	Waveform 1	1	2511.650093750	2511.666343750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	2511.650093750	2511.666343750	1400.000	4000.000	1.0000
13	Waveform 1	1	2552.864968750	2552.873093750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	2552.864968750	2552.873093750	1400.000	4000.000	1.0000
