Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	397.122093750	397.130218750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	397.122093750	397.130218750	1400.000	4000.000	1.0000
2	Waveform 1	1	5308.091468750	5308.106093750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	5308.091468750	5308.106093750	1400.000	4000.000	1.0000
3	Waveform 1	1	10403.371593750	10403.381343750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	10403.371593750	10403.381343750	1400.000	4000.000	1.0000
4	Waveform 1	1	19381.286968750	19381.298343750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	19381.286968750	19381.298343750	1400.000	4000.000	1.0000
5	Waveform 1	1	19412.295218750	19412.304968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	19412.295218750	19412.304968750	1400.000	4000.000	1.0000
6	Waveform 1	1	19814.485968750	19814.502218750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	19814.485968750	19814.502218750	1400.000	4000.000	1.0000
7	Waveform 1	1	19814.719968750	19814.747593750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	19814.719968750	19814.747593750	1400.000	4000.000	1.0000
8	Waveform 1	1	20114.782718750	20114.794093750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	20114.782718750	20114.794093750	1400.000	4000.000	1.0000
9	Waveform 1	1	21195.922843750	21195.932593750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	21195.922843750	21195.932593750	1400.000	4000.000	1.0000
10	Waveform 1	1	21202.393593750	21202.401718750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	21202.393593750	21202.401718750	1400.000	4000.000	1.0000
11	Waveform 1	1	21257.638718750	21257.646843750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	21257.638718750	21257.646843750	1400.000	4000.000	1.0000
12	Waveform 1	1	21692.535843750	21692.543968750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	21692.535843750	21692.543968750	1400.000	4000.000	1.0000
13	Waveform 1	1	21727.226343750	21727.237718750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	21727.226343750	21727.237718750	1400.000	4000.000	1.0000
14	Waveform 1	1	21747.150468750	21747.158593750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	21747.150468750	21747.158593750	1400.000	4000.000	1.0000
15	Waveform 1	1	21747.595718750	21747.603843750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	21747.595718750	21747.603843750	1400.000	4000.000	1.0000
16	Waveform 1	1	21784.648968750	21784.657093750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	21784.648968750	21784.657093750	1400.000	4000.000	1.0000
17	Waveform 1	1	21789.962718750	21789.970843750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	21789.962718750	21789.970843750	1400.000	4000.000	1.0000
18	Waveform 1	1	21790.061843750	21790.071593750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	21790.061843750	21790.071593750	1400.000	4000.000	1.0000
19	Waveform 1	1	21803.471343750	21803.479468750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	21803.471343750	21803.479468750	1400.000	4000.000	1.0000
20	Waveform 1	1	21803.568843750	21803.578593750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	21803.568843750	21803.578593750	1400.000	4000.000	1.0000
21	Waveform 1	1	21806.235468750	21806.248468750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	21806.235468750	21806.248468750	1400.000	4000.000	1.0000
22	Waveform 1	1	21846.925468750	21846.933593750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	21846.925468750	21846.933593750	1400.000	4000.000	1.0000
23	Waveform 1	1	21847.850093750	21847.858218750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	21847.850093750	21847.858218750	1400.000	4000.000	1.0000
24	Waveform 1	1	21897.056718750	21897.064843750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	21897.056718750	21897.064843750	1400.000	4000.000	1.0000
25	Waveform 1	1	21901.709093750	21901.717218750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	21901.709093750	21901.717218750	1400.000	4000.000	1.0000
26	Waveform 1	1	21936.575093750	21936.584843750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	21936.575093750	21936.584843750	1400.000	4000.000	1.0000
27	Waveform 1	1	21947.265968750	21947.275718750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	21947.265968750	21947.275718750	1400.000	4000.000	1.0000
28	Waveform 1	1	21953.822843750	21953.830968750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	21953.822843750	21953.830968750	1400.000	4000.000	1.0000
29	Waveform 1	1	21968.662343750	21968.675343750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	21968.662343750	21968.675343750	1400.000	4000.000	1.0000
30	Waveform 1	1	21968.917468750	21968.927218750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	21968.917468750	21968.927218750	1400.000	4000.000	1.0000
31	Waveform 1	1	21973.327718750	21973.335843750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	21973.327718750	21973.335843750	1400.000	4000.000	1.0000
32	Waveform 1	1	21973.379718750	21973.392718750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	21973.379718750	21973.392718750	1400.000	4000.000	1.0000
33	Waveform 1	1	21973.482093750	21973.508093750	1400.000	4000.000	0.9375
33	Spectrogram 1	1	21973.482093750	21973.508093750	1400.000	4000.000	0.9375
34	Waveform 1	1	21974.700843750	21974.713843750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	21974.700843750	21974.713843750	1400.000	4000.000	1.0000
35	Waveform 1	1	21985.911718750	21985.919843750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	21985.911718750	21985.919843750	1400.000	4000.000	1.0000
36	Waveform 1	1	21986.300093750	21986.308218750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	21986.300093750	21986.308218750	1400.000	4000.000	1.0000
37	Waveform 1	1	21993.489093750	21993.497218750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	21993.489093750	21993.497218750	1400.000	4000.000	1.0000
38	Waveform 1	1	22038.485343750	22038.493468750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	22038.485343750	22038.493468750	1400.000	4000.000	1.0000
39	Waveform 1	1	22143.356343750	22143.364468750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	22143.356343750	22143.364468750	1400.000	4000.000	1.0000
