Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	3942.480468750	3942.493468750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	3942.480468750	3942.493468750	1400.000	4000.000	1.0000
2	Waveform 1	1	5804.842593750	5804.850718750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	5804.842593750	5804.850718750	1400.000	4000.000	1.0000
3	Waveform 1	1	5889.839843750	5889.862593750	1400.000	4000.000	0.9286
3	Spectrogram 1	1	5889.839843750	5889.862593750	1400.000	4000.000	0.9286
4	Waveform 1	1	6525.947718750	6525.965593750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	6525.947718750	6525.965593750	1400.000	4000.000	1.0000
5	Waveform 1	1	7733.607093750	7733.618468750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	7733.607093750	7733.618468750	1400.000	4000.000	1.0000
6	Waveform 1	1	7737.035843750	7737.045593750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	7737.035843750	7737.045593750	1400.000	4000.000	1.0000
7	Waveform 1	1	7755.151343750	7755.169218750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	7755.151343750	7755.169218750	1400.000	4000.000	1.0000
8	Waveform 1	1	7759.200843750	7759.215468750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	7759.200843750	7759.215468750	1400.000	4000.000	1.0000
9	Waveform 1	1	9267.880093750	9267.894718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	9267.880093750	9267.894718750	1400.000	4000.000	1.0000
10	Waveform 1	1	9270.455718750	9270.468718750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	9270.455718750	9270.468718750	1400.000	4000.000	1.0000
11	Waveform 1	1	9270.593843750	9270.603593750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	9270.593843750	9270.603593750	1400.000	4000.000	1.0000
12	Waveform 1	1	9272.053093750	9272.067718750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	9272.053093750	9272.067718750	1400.000	4000.000	1.0000
13	Waveform 1	1	9273.444093750	9273.465218750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	9273.444093750	9273.465218750	1400.000	4000.000	1.0000
14	Waveform 1	1	9285.017343750	9285.036843750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	9285.017343750	9285.036843750	1400.000	4000.000	1.0000
15	Waveform 1	1	9285.439843750	9285.452843750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	9285.439843750	9285.452843750	1400.000	4000.000	1.0000
16	Waveform 1	1	9285.751843750	9285.761593750	1400.000	4000.000	1.0000
