Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	13597.575593750	13597.591843750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	13597.575593750	13597.591843750	1400.000	4000.000	1.0000
2	Waveform 1	1	13781.543468750	13781.553218750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	13781.543468750	13781.553218750	1400.000	4000.000	1.0000
3	Waveform 1	1	16111.713843750	16111.725218750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	16111.713843750	16111.725218750	1400.000	4000.000	1.0000
4	Waveform 1	1	16172.851218750	16172.859343750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	16172.851218750	16172.859343750	1400.000	4000.000	1.0000
5	Waveform 1	1	16188.183093750	16188.209093750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	16188.183093750	16188.209093750	1400.000	4000.000	1.0000
6	Waveform 1	1	16280.071968750	16280.086593750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	16280.071968750	16280.086593750	1400.000	4000.000	1.0000
7	Waveform 1	1	16306.925093750	16306.946218750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	16306.925093750	16306.946218750	1400.000	4000.000	1.0000
8	Waveform 1	1	16307.500343750	16307.511718750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	16307.500343750	16307.511718750	1400.000	4000.000	1.0000
9	Waveform 1	1	17676.790343750	17676.800093750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	17676.790343750	17676.800093750	1400.000	4000.000	1.0000
10	Waveform 1	1	23729.434343750	23729.452218750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	23729.434343750	23729.452218750	1400.000	4000.000	1.0000
11	Waveform 1	1	23924.107718750	23924.125593750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	23924.107718750	23924.125593750	1400.000	4000.000	1.0000
12	Waveform 1	1	23928.985968750	23929.002218750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	23928.985968750	23929.002218750	1400.000	4000.000	1.0000
13	Waveform 1	1	23938.929343750	23938.943968750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	23938.929343750	23938.943968750	1400.000	4000.000	1.0000
14	Waveform 1	1	24369.172468750	24369.187093750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	24369.172468750	24369.187093750	1400.000	4000.000	1.0000
15	Waveform 1	1	24430.449593750	24430.457718750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	24430.449593750	24430.457718750	1400.000	4000.000	1.0000
16	Waveform 1	1	24518.349093750	24518.363718750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	24518.349093750	24518.363718750	1400.000	4000.000	1.0000
17	Waveform 1	1	24582.939593750	24582.952593750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	24582.939593750	24582.952593750	1400.000	4000.000	1.0000
18	Waveform 1	1	27209.735843750	27209.743968750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	27209.735843750	27209.743968750	1400.000	4000.000	1.0000
19	Waveform 1	1	29567.682343750	29567.690468750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	29567.682343750	29567.690468750	1400.000	4000.000	1.0000
20	Waveform 1	1	37168.740093750	37168.748218750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	37168.740093750	37168.748218750	1400.000	4000.000	1.0000
21	Waveform 1	1	37238.307968750	37238.317718750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	37238.307968750	37238.317718750	1400.000	4000.000	1.0000
22	Waveform 1	1	37276.064843750	37276.076218750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	37276.064843750	37276.076218750	1400.000	4000.000	1.0000
23	Waveform 1	1	37278.557593750	37278.565718750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	37278.557593750	37278.565718750	1400.000	4000.000	1.0000
24	Waveform 1	1	37359.534593750	37359.544343750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	37359.534593750	37359.544343750	1400.000	4000.000	1.0000
25	Waveform 1	1	37386.127718750	37386.135843750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	37386.127718750	37386.135843750	1400.000	4000.000	1.0000
26	Waveform 1	1	37395.676218750	37395.684343750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	37395.676218750	37395.684343750	1400.000	4000.000	1.0000
27	Waveform 1	1	37396.865718750	37396.877093750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	37396.865718750	37396.877093750	1400.000	4000.000	1.0000
28	Waveform 1	1	37570.935718750	37570.943843750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	37570.935718750	37570.943843750	1400.000	4000.000	1.0000
29	Waveform 1	1	37604.392843750	37604.402593750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	37604.392843750	37604.402593750	1400.000	4000.000	1.0000
30	Waveform 1	1	37618.709093750	37618.722093750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	37618.709093750	37618.722093750	1400.000	4000.000	1.0000
31	Waveform 1	1	37667.710968750	37667.723968750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	37667.710968750	37667.723968750	1400.000	4000.000	1.0000
32	Waveform 1	1	37667.905968750	37667.914093750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	37667.905968750	37667.914093750	1400.000	4000.000	1.0000
33	Waveform 1	1	37668.997968750	37669.010968750	1400.000	4000.000	1.0000
33	Spectrogram 1	1	37668.997968750	37669.010968750	1400.000	4000.000	1.0000
34	Waveform 1	1	37678.656968750	37678.665093750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	37678.656968750	37678.665093750	1400.000	4000.000	1.0000
35	Waveform 1	1	37691.307593750	37691.320593750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	37691.307593750	37691.320593750	1400.000	4000.000	1.0000
36	Waveform 1	1	37691.660218750	37691.673218750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	37691.660218750	37691.673218750	1400.000	4000.000	1.0000
37	Waveform 1	1	37692.401218750	37692.412593750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	37692.401218750	37692.412593750	1400.000	4000.000	1.0000
38	Waveform 1	1	37702.458343750	37702.468093750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	37702.458343750	37702.468093750	1400.000	4000.000	1.0000
39	Waveform 1	1	37703.802218750	37703.810343750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	37703.802218750	37703.810343750	1400.000	4000.000	1.0000
40	Waveform 1	1	37705.454843750	37705.471093750	1400.000	4000.000	1.0000
40	Spectrogram 1	1	37705.454843750	37705.471093750	1400.000	4000.000	1.0000
41	Waveform 1	1	37713.792718750	37713.800843750	1400.000	4000.000	1.0000
41	Spectrogram 1	1	37713.792718750	37713.800843750	1400.000	4000.000	1.0000
42	Waveform 1	1	37733.229343750	37733.243968750	1400.000	4000.000	1.0000
42	Spectrogram 1	1	37733.229343750	37733.243968750	1400.000	4000.000	1.0000
43	Waveform 1	1	37735.414968750	37735.424718750	1400.000	4000.000	1.0000
43	Spectrogram 1	1	37735.414968750	37735.424718750	1400.000	4000.000	1.0000
44	Waveform 1	1	37735.462093750	37735.481593750	1400.000	4000.000	1.0000
