Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	109.883843750	109.891968750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	109.883843750	109.891968750	1400.000	4000.000	1.0000
2	Waveform 1	1	137.679468750	137.687593750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	137.679468750	137.687593750	1400.000	4000.000	1.0000
3	Waveform 1	1	168.239218750	168.247343750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	168.239218750	168.247343750	1400.000	4000.000	1.0000
4	Waveform 1	1	171.065093750	171.078093750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	171.065093750	171.078093750	1400.000	4000.000	1.0000
5	Waveform 1	1	171.627343750	171.637093750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	171.627343750	171.637093750	1400.000	4000.000	1.0000
6	Waveform 1	1	190.249843750	190.257968750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	190.249843750	190.257968750	1400.000	4000.000	1.0000
7	Waveform 1	1	222.556468750	222.564593750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	222.556468750	222.564593750	1400.000	4000.000	1.0000
8	Waveform 1	1	284.009093750	284.018843750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	284.009093750	284.018843750	1400.000	4000.000	1.0000
9	Waveform 1	1	541.695093750	541.706468750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	541.695093750	541.706468750	1400.000	4000.000	1.0000
10	Waveform 1	1	660.212843750	660.225843750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	660.212843750	660.225843750	1400.000	4000.000	1.0000
11	Waveform 1	1	827.217343750	827.227093750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	827.217343750	827.227093750	1400.000	4000.000	1.0000
12	Waveform 1	1	828.780593750	828.795218750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	828.780593750	828.795218750	1400.000	4000.000	1.0000
13	Waveform 1	1	867.957718750	867.965843750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	867.957718750	867.965843750	1400.000	4000.000	1.0000
14	Waveform 1	1	898.540218750	898.549968750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	898.540218750	898.549968750	1400.000	4000.000	1.0000
15	Waveform 1	1	957.847843750	957.857593750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	957.847843750	957.857593750	1400.000	4000.000	1.0000
16	Waveform 1	1	958.700968750	958.712343750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	958.700968750	958.712343750	1400.000	4000.000	1.0000
17	Waveform 1	1	1018.747968750	1018.762593750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	1018.747968750	1018.762593750	1400.000	4000.000	1.0000
18	Waveform 1	1	1184.403718750	1184.411843750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	1184.403718750	1184.411843750	1400.000	4000.000	1.0000
19	Waveform 1	1	1402.446218750	1402.454343750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	1402.446218750	1402.454343750	1400.000	4000.000	1.0000
20	Waveform 1	1	1787.995343750	1788.005093750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	1787.995343750	1788.005093750	1400.000	4000.000	1.0000
21	Waveform 1	1	2897.841093750	2897.849218750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	2897.841093750	2897.849218750	1400.000	4000.000	1.0000
22	Waveform 1	1	2898.053968750	2898.070218750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	2898.053968750	2898.070218750	1400.000	4000.000	1.0000
23	Waveform 1	1	2898.162843750	2898.172593750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	2898.162843750	2898.172593750	1400.000	4000.000	1.0000
24	Waveform 1	1	3554.326468750	3554.334593750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	3554.326468750	3554.334593750	1400.000	4000.000	1.0000
25	Waveform 1	1	3700.088968750	3700.098718750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	3700.088968750	3700.098718750	1400.000	4000.000	1.0000
26	Waveform 1	1	3706.133968750	3706.142093750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	3706.133968750	3706.142093750	1400.000	4000.000	1.0000
27	Waveform 1	1	3839.830843750	3839.838968750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	3839.830843750	3839.838968750	1400.000	4000.000	1.0000
28	Waveform 1	1	3942.108343750	3942.127843750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	3942.108343750	3942.127843750	1400.000	4000.000	1.0000
29	Waveform 1	1	3944.817218750	3944.831843750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	3944.817218750	3944.831843750	1400.000	4000.000	1.0000
30	Waveform 1	1	4406.313968750	4406.326968750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	4406.313968750	4406.326968750	1400.000	4000.000	1.0000
31	Waveform 1	1	4476.146718750	4476.154843750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	4476.146718750	4476.154843750	1400.000	4000.000	1.0000
32	Waveform 1	1	4640.216468750	4640.231093750	1400.000	4000.000	1.0000
