Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	17318.378718750	17318.391718750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	17318.378718750	17318.391718750	1400.000	4000.000	1.0000
2	Waveform 1	1	17329.968218750	17329.979593750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	17329.968218750	17329.979593750	1400.000	4000.000	1.0000
3	Waveform 1	1	17332.101843750	17332.114843750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	17332.101843750	17332.114843750	1400.000	4000.000	1.0000
4	Waveform 1	1	17337.111718750	17337.127968750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	17337.111718750	17337.127968750	1400.000	4000.000	1.0000
5	Waveform 1	1	18725.836718750	18725.852968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	18725.836718750	18725.852968750	1400.000	4000.000	1.0000
6	Waveform 1	1	18732.458593750	18732.474843750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	18732.458593750	18732.474843750	1400.000	4000.000	1.0000
7	Waveform 1	1	18735.498968750	18735.511968750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	18735.498968750	18735.511968750	1400.000	4000.000	1.0000
8	Waveform 1	1	18737.398593750	18737.419718750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	18737.398593750	18737.419718750	1400.000	4000.000	1.0000
9	Waveform 1	1	18741.823468750	18741.851093750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	18741.823468750	18741.851093750	1400.000	4000.000	1.0000
10	Waveform 1	1	18746.540843750	18746.561968750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	18746.540843750	18746.561968750	1400.000	4000.000	1.0000
11	Waveform 1	1	18748.191843750	18748.221093750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	18748.191843750	18748.221093750	1400.000	4000.000	1.0000
12	Waveform 1	1	18749.950093750	18749.982593750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	18749.950093750	18749.982593750	1400.000	4000.000	1.0000
13	Waveform 1	1	18753.794843750	18753.814343750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	18753.794843750	18753.814343750	1400.000	4000.000	1.0000
14	Waveform 1	1	18756.227468750	18756.242093750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	18756.227468750	18756.242093750	1400.000	4000.000	1.0000
15	Waveform 1	1	19288.255718750	19288.267093750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	19288.255718750	19288.267093750	1400.000	4000.000	1.0000
16	Waveform 1	1	19453.614093750	19453.625468750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	19453.614093750	19453.625468750	1400.000	4000.000	1.0000
17	Waveform 1	1	19454.311218750	19454.319343750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	19454.311218750	19454.319343750	1400.000	4000.000	1.0000
18	Waveform 1	1	19458.474468750	19458.482593750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	19458.474468750	19458.482593750	1400.000	4000.000	1.0000
19	Waveform 1	1	19459.813468750	19459.826468750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	19459.813468750	19459.826468750	1400.000	4000.000	1.0000
20	Waveform 1	1	19460.484593750	19460.499218750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	19460.484593750	19460.499218750	1400.000	4000.000	1.0000
21	Waveform 1	1	19461.145968750	19461.154093750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	19461.145968750	19461.154093750	1400.000	4000.000	1.0000
22	Waveform 1	1	19461.804093750	19461.813843750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	19461.804093750	19461.813843750	1400.000	4000.000	1.0000
23	Waveform 1	1	19471.867718750	19471.879093750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	19471.867718750	19471.879093750	1400.000	4000.000	1.0000
24	Waveform 1	1	19472.566468750	19472.576218750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	19472.566468750	19472.576218750	1400.000	4000.000	1.0000
25	Waveform 1	1	19473.261968750	19473.270093750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	19473.261968750	19473.270093750	1400.000	4000.000	1.0000
26	Waveform 1	1	19483.458843750	19483.470218750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	19483.458843750	19483.470218750	1400.000	4000.000	1.0000
27	Waveform 1	1	19484.177093750	19484.190093750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	19484.177093750	19484.190093750	1400.000	4000.000	1.0000
28	Waveform 1	1	19484.892093750	19484.905093750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	19484.892093750	19484.905093750	1400.000	4000.000	1.0000
29	Waveform 1	1	19485.639593750	19485.649343750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	19485.639593750	19485.649343750	1400.000	4000.000	1.0000
30	Waveform 1	1	19486.374093750	19486.385468750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	19486.374093750	19486.385468750	1400.000	4000.000	1.0000
31	Waveform 1	1	19487.141093750	19487.149218750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	19487.141093750	19487.149218750	1400.000	4000.000	1.0000
32	Waveform 1	1	19489.425843750	19489.433968750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	19489.425843750	19489.433968750	1400.000	4000.000	1.0000
33	Waveform 1	1	19497.711718750	19497.723093750	1400.000	4000.000	1.0000
33	Spectrogram 1	1	19497.711718750	19497.723093750	1400.000	4000.000	1.0000
34	Waveform 1	1	19498.470593750	19498.483593750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	19498.470593750	19498.483593750	1400.000	4000.000	1.0000
35	Waveform 1	1	19706.377968750	19706.392593750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	19706.377968750	19706.392593750	1400.000	4000.000	1.0000
36	Waveform 1	1	19707.161218750	19707.174218750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	19707.161218750	19707.174218750	1400.000	4000.000	1.0000
37	Waveform 1	1	19707.403343750	19707.435843750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	19707.403343750	19707.435843750	1400.000	4000.000	1.0000
38	Waveform 1	1	19707.502468750	19707.525218750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	19707.502468750	19707.525218750	1400.000	4000.000	1.0000
39	Waveform 1	1	19707.648718750	19707.679593750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	19707.648718750	19707.679593750	1400.000	4000.000	1.0000
40	Waveform 1	1	19708.243468750	19708.259718750	1400.000	4000.000	1.0000
40	Spectrogram 1	1	19708.243468750	19708.259718750	1400.000	4000.000	1.0000
41	Waveform 1	1	19709.569468750	19709.588968750	1400.000	4000.000	1.0000
41	Spectrogram 1	1	19709.569468750	19709.588968750	1400.000	4000.000	1.0000
42	Waveform 1	1	19710.614343750	19710.630593750	1400.000	4000.000	1.0000
42	Spectrogram 1	1	19710.614343750	19710.630593750	1400.000	4000.000	1.0000
43	Waveform 1	1	19711.248093750	19711.274093750	1400.000	4000.000	1.0000
43	Spectrogram 1	1	19711.248093750	19711.274093750	1400.000	4000.000	1.0000
44	Waveform 1	1	19711.415468750	19711.423593750	1400.000	4000.000	1.0000
44	Spectrogram 1	1	19711.415468750	19711.423593750	1400.000	4000.000	1.0000
45	Waveform 1	1	19711.595843750	19711.626718750	1400.000	4000.000	1.0000
45	Spectrogram 1	1	19711.595843750	19711.626718750	1400.000	4000.000	1.0000
46	Waveform 1	1	19712.034593750	19712.042718750	1400.000	4000.000	1.0000
46	Spectrogram 1	1	19712.034593750	19712.042718750	1400.000	4000.000	1.0000
47	Waveform 1	1	19819.884218750	19819.893968750	1400.000	4000.000	1.0000
47	Spectrogram 1	1	19819.884218750	19819.893968750	1400.000	4000.000	1.0000
48	Waveform 1	1	19936.235843750	19936.250468750	1400.000	4000.000	1.0000
48	Spectrogram 1	1	19936.235843750	19936.250468750	1400.000	4000.000	1.0000
49	Waveform 1	1	19946.585468750	19946.600093750	1400.000	4000.000	1.0000
49	Spectrogram 1	1	19946.585468750	19946.600093750	1400.000	4000.000	1.0000
50	Waveform 1	1	19947.864343750	19947.891968750	1400.000	4000.000	1.0000
50	Spectrogram 1	1	19947.864343750	19947.891968750	1400.000	4000.000	1.0000
51	Waveform 1	1	19952.700343750	19952.710093750	1400.000	4000.000	1.0000
51	Spectrogram 1	1	19952.700343750	19952.710093750	1400.000	4000.000	1.0000
52	Waveform 1	1	19975.541343750	19975.551093750	1400.000	4000.000	1.0000
52	Spectrogram 1	1	19975.541343750	19975.551093750	1400.000	4000.000	1.0000
53	Waveform 1	1	19995.259093750	19995.273718750	1400.000	4000.000	1.0000
53	Spectrogram 1	1	19995.259093750	19995.273718750	1400.000	4000.000	1.0000
54	Waveform 1	1	19996.063468750	19996.081343750	1400.000	4000.000	1.0000
54	Spectrogram 1	1	19996.063468750	19996.081343750	1400.000	4000.000	1.0000
55	Waveform 1	1	19997.197718750	19997.210718750	1400.000	4000.000	1.0000
55	Spectrogram 1	1	19997.197718750	19997.210718750	1400.000	4000.000	1.0000
56	Waveform 1	1	19997.837968750	19997.849343750	1400.000	4000.000	1.0000
56	Spectrogram 1	1	19997.837968750	19997.849343750	1400.000	4000.000	1.0000
57	Waveform 1	1	20001.893968750	20001.903718750	1400.000	4000.000	1.0000
57	Spectrogram 1	1	20001.893968750	20001.903718750	1400.000	4000.000	1.0000
58	Waveform 1	1	20143.556593750	20143.564718750	1400.000	4000.000	1.0000
58	Spectrogram 1	1	20143.556593750	20143.564718750	1400.000	4000.000	1.0000
59	Waveform 1	1	20430.846843750	20430.864718750	1400.000	4000.000	1.0000
59	Spectrogram 1	1	20430.846843750	20430.864718750	1400.000	4000.000	1.0000
60	Waveform 1	1	20843.871468750	20843.886093750	1400.000	4000.000	1.0000
60	Spectrogram 1	1	20843.871468750	20843.886093750	1400.000	4000.000	1.0000
61	Waveform 1	1	20929.547968750	20929.556093750	1400.000	4000.000	1.0000
61	Spectrogram 1	1	20929.547968750	20929.556093750	1400.000	4000.000	1.0000
62	Waveform 1	1	20932.464843750	20932.472968750	1400.000	4000.000	1.0000
62	Spectrogram 1	1	20932.464843750	20932.472968750	1400.000	4000.000	1.0000
63	Waveform 1	1	20935.290718750	20935.305343750	1400.000	4000.000	1.0000
63	Spectrogram 1	1	20935.290718750	20935.305343750	1400.000	4000.000	1.0000
64	Waveform 1	1	20937.895593750	20937.916718750	1400.000	4000.000	1.0000
64	Spectrogram 1	1	20937.895593750	20937.916718750	1400.000	4000.000	1.0000
65	Waveform 1	1	20953.856343750	20953.870968750	1400.000	4000.000	1.0000
65	Spectrogram 1	1	20953.856343750	20953.870968750	1400.000	4000.000	1.0000
66	Waveform 1	1	20955.689343750	20955.699093750	1400.000	4000.000	1.0000
66	Spectrogram 1	1	20955.689343750	20955.699093750	1400.000	4000.000	1.0000
67	Waveform 1	1	20957.577593750	20957.593843750	1400.000	4000.000	1.0000
67	Spectrogram 1	1	20957.577593750	20957.593843750	1400.000	4000.000	1.0000
68	Waveform 1	1	21001.179593750	21001.189343750	1400.000	4000.000	1.0000
68	Spectrogram 1	1	21001.179593750	21001.189343750	1400.000	4000.000	1.0000
69	Waveform 1	1	21326.345343750	21326.353468750	1400.000	4000.000	1.0000
69	Spectrogram 1	1	21326.345343750	21326.353468750	1400.000	4000.000	1.0000
70	Waveform 1	1	21543.615968750	21543.633843750	1400.000	4000.000	1.0000
70	Spectrogram 1	1	21543.615968750	21543.633843750	1400.000	4000.000	1.0000
71	Waveform 1	1	21860.354468750	21860.367468750	1400.000	4000.000	1.0000
71	Spectrogram 1	1	21860.354468750	21860.367468750	1400.000	4000.000	1.0000
72	Waveform 1	1	22045.240468750	22045.251843750	1400.000	4000.000	1.0000
72	Spectrogram 1	1	22045.240468750	22045.251843750	1400.000	4000.000	1.0000
73	Waveform 1	1	22091.136968750	22091.145093750	1400.000	4000.000	1.0000
73	Spectrogram 1	1	22091.136968750	22091.145093750	1400.000	4000.000	1.0000
74	Waveform 1	1	22096.676593750	22096.684718750	1400.000	4000.000	1.0000
74	Spectrogram 1	1	22096.676593750	22096.684718750	1400.000	4000.000	1.0000
75	Waveform 1	1	22139.839843750	22139.847968750	1400.000	4000.000	1.0000
