Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	379.318593750	379.334843750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	379.318593750	379.334843750	1400.000	4000.000	1.0000
2	Waveform 1	1	435.645968750	435.665468750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	435.645968750	435.665468750	1400.000	4000.000	1.0000
3	Waveform 1	1	435.736968750	435.759718750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	435.736968750	435.759718750	1400.000	4000.000	1.0000
4	Waveform 1	1	444.149593750	444.167468750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	444.149593750	444.167468750	1400.000	4000.000	1.0000
5	Waveform 1	1	449.720093750	449.737968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	449.720093750	449.737968750	1400.000	4000.000	1.0000
6	Waveform 1	1	469.712468750	469.733593750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	469.712468750	469.733593750	1400.000	4000.000	1.0000
7	Waveform 1	1	541.270968750	541.296968750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	541.270968750	541.296968750	1400.000	4000.000	1.0000
8	Waveform 1	1	544.015593750	544.046468750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	544.015593750	544.046468750	1400.000	4000.000	1.0000
9	Waveform 1	1	549.745343750	549.772968750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	549.745343750	549.772968750	1400.000	4000.000	1.0000
10	Waveform 1	1	553.196843750	553.224468750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	553.196843750	553.224468750	1400.000	4000.000	1.0000
11	Waveform 1	1	556.415968750	556.440343750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	556.415968750	556.440343750	1400.000	4000.000	1.0000
12	Waveform 1	1	565.928718750	565.957968750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	565.928718750	565.957968750	1400.000	4000.000	1.0000
13	Waveform 1	1	568.756218750	568.782218750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	568.756218750	568.782218750	1400.000	4000.000	1.0000
14	Waveform 1	1	602.936468750	602.967343750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	602.936468750	602.967343750	1400.000	4000.000	1.0000
15	Waveform 1	1	610.123843750	610.151468750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	610.123843750	610.151468750	1400.000	4000.000	1.0000
16	Waveform 1	1	613.112218750	613.138218750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	613.112218750	613.138218750	1400.000	4000.000	1.0000
17	Waveform 1	1	616.469468750	616.490593750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	616.469468750	616.490593750	1400.000	4000.000	1.0000
18	Waveform 1	1	618.317093750	618.328468750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	618.317093750	618.328468750	1400.000	4000.000	1.0000
19	Waveform 1	1	625.905843750	625.913968750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	625.905843750	625.913968750	1400.000	4000.000	1.0000
20	Waveform 1	1	628.926718750	628.955968750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	628.926718750	628.955968750	1400.000	4000.000	1.0000
21	Waveform 1	1	634.805968750	634.835218750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	634.805968750	634.835218750	1400.000	4000.000	1.0000
22	Waveform 1	1	637.048468750	637.076093750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	637.048468750	637.076093750	1400.000	4000.000	1.0000
23	Waveform 1	1	639.815843750	639.845093750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	639.815843750	639.845093750	1400.000	4000.000	1.0000
24	Waveform 1	1	2941.044968750	2941.062843750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	2941.044968750	2941.062843750	1400.000	4000.000	1.0000
25	Waveform 1	1	2941.537343750	2941.563343750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	2941.537343750	2941.563343750	1400.000	4000.000	1.0000
26	Waveform 1	1	2968.242593750	2968.266968750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	2968.242593750	2968.266968750	1400.000	4000.000	1.0000
27	Waveform 1	1	3159.033843750	3159.064718750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	3159.033843750	3159.064718750	1400.000	4000.000	1.0000
28	Waveform 1	1	3159.173593750	3159.191468750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	3159.173593750	3159.191468750	1400.000	4000.000	1.0000
29	Waveform 1	1	3181.258968750	3181.276843750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	3181.258968750	3181.276843750	1400.000	4000.000	1.0000
30	Waveform 1	1	3964.853468750	3964.869718750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	3964.853468750	3964.869718750	1400.000	4000.000	1.0000
31	Waveform 1	1	5873.976593750	5873.984718750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	5873.976593750	5873.984718750	1400.000	4000.000	1.0000
