"yr","month","perc"
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,66.6666666666667
1,7,77.4193548387097
1,8,96.7741935483871
1,9,96.6666666666667
1,10,74.1935483870968
1,11,53.3333333333333
1,12,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,40
2,7,83.8709677419355
2,8,58.0645161290323
2,9,83.3333333333333
2,10,93.5483870967742
2,11,60
2,12,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,43.3333333333333
3,7,74.1935483870968
3,8,83.8709677419355
3,9,63.3333333333333
3,10,35.4838709677419
3,11,60
3,12,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,30
4,7,74.1935483870968
4,8,93.5483870967742
4,9,63.3333333333333
4,10,74.1935483870968
4,11,46.6666666666667
4,12,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,63.3333333333333
5,7,87.0967741935484
5,8,77.4193548387097
5,9,90
5,10,100
5,11,36.6666666666667
5,12,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,36.6666666666667
6,7,80.6451612903226
6,8,48.3870967741936
6,9,56.6666666666667
6,10,77.4193548387097
6,11,40
6,12,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,3.2258064516129
7,6,36.6666666666667
7,7,87.0967741935484
7,8,93.5483870967742
7,9,86.6666666666667
7,10,61.2903225806452
7,11,60
7,12,3.2258064516129
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,43.3333333333333
8,7,64.5161290322581
8,8,83.8709677419355
8,9,70
8,10,58.0645161290323
8,11,53.3333333333333
8,12,3.2258064516129
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,40
9,7,51.6129032258064
9,8,90.3225806451613
9,9,50
9,10,58.0645161290323
9,11,50
9,12,9.67741935483871
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,43.3333333333333
10,7,87.0967741935484
10,8,48.3870967741936
10,9,86.6666666666667
10,10,74.1935483870968
10,11,66.6666666666667
10,12,0
