"yr","month","perc"
1,1,100
1,2,100
1,3,22.5806451612903
1,4,93.3333333333333
1,5,93.5483870967742
1,6,40
1,7,48.3870967741936
1,8,32.258064516129
1,9,46.6666666666667
1,10,35.4838709677419
1,11,20
1,12,54.8387096774194
2,1,80.6451612903226
2,2,78.5714285714286
2,3,48.3870967741936
2,4,56.6666666666667
2,5,77.4193548387097
2,6,56.6666666666667
2,7,64.5161290322581
2,8,80.6451612903226
2,9,53.3333333333333
2,10,67.741935483871
2,11,46.6666666666667
2,12,54.8387096774194
3,1,16.1290322580645
3,2,57.1428571428571
3,3,80.6451612903226
3,4,23.3333333333333
3,5,74.1935483870968
3,6,6.66666666666667
3,7,0
3,8,9.67741935483871
3,9,90
3,10,29.0322580645161
3,11,100
3,12,96.7741935483871
4,1,9.67741935483871
4,2,21.4285714285714
4,3,12.9032258064516
4,4,36.6666666666667
4,5,12.9032258064516
4,6,6.66666666666667
4,7,74.1935483870968
4,8,45.1612903225806
4,9,3.33333333333333
4,10,41.9354838709677
4,11,23.3333333333333
4,12,51.6129032258064
5,1,80.6451612903226
5,2,82.1428571428571
5,3,77.4193548387097
5,4,73.3333333333333
5,5,96.7741935483871
5,6,96.6666666666667
5,7,48.3870967741936
5,8,16.1290322580645
5,9,30
5,10,45.1612903225806
5,11,60
5,12,51.6129032258064
6,1,100
6,2,100
6,3,87.0967741935484
6,4,86.6666666666667
6,5,70.9677419354839
6,6,50
6,7,12.9032258064516
6,8,67.741935483871
6,9,20
6,10,29.0322580645161
6,11,40
6,12,35.4838709677419
7,1,96.7741935483871
7,2,100
7,3,67.741935483871
7,4,23.3333333333333
7,5,96.7741935483871
7,6,43.3333333333333
7,7,64.5161290322581
7,8,32.258064516129
7,9,46.6666666666667
7,10,61.2903225806452
7,11,96.6666666666667
7,12,54.8387096774194
8,1,64.5161290322581
8,2,85.7142857142857
8,3,77.4193548387097
8,4,30
8,5,0
8,6,40
8,7,9.67741935483871
8,8,64.5161290322581
8,9,63.3333333333333
8,10,45.1612903225806
8,11,80
8,12,32.258064516129
9,1,80.6451612903226
9,2,67.8571428571429
9,3,70.9677419354839
9,4,33.3333333333333
9,5,38.7096774193548
9,6,53.3333333333333
9,7,12.9032258064516
9,8,22.5806451612903
9,9,20
9,10,96.7741935483871
9,11,60
9,12,87.0967741935484
10,1,70.9677419354839
10,2,53.5714285714286
10,3,100
10,4,60
10,5,64.5161290322581
10,6,43.3333333333333
10,7,64.5161290322581
10,8,0
10,9,23.3333333333333
10,10,70.9677419354839
10,11,46.6666666666667
10,12,16.1290322580645
