V1,V2,V3
-125,37.5,-4206.1826171875
-124.983282674772,37.5,-4201.8125
-124.966565349544,37.5,-4208.25244140625
-124.949848024316,37.5,-4179.25244140625
-124.933130699088,37.5,-4180.68505859375
-124.91641337386,37.5,-4185.375
-124.899696048632,37.5,-4183.4951171875
-124.882978723404,37.5,-4172.68505859375
-124.866261398176,37.5,-4156.7451171875
-124.849544072948,37.5,-4156.625
-124.83282674772,37.5,-4161.2451171875
-124.816109422492,37.5,-4152.31494140625
-124.799392097264,37.5,-4144.375
-124.782674772036,37.5,-4108.125
-124.765957446809,37.5,-4096.115234375
-124.749240121581,37.5,-4095.4150390625
-124.732522796353,37.5,-4094.68505859375
-124.715805471125,37.5,-4092.89501953125
-124.699088145897,37.5,-4090.56494140625
-124.682370820669,37.5,-4087.30493164062
-124.665653495441,37.5,-4085.36669921875
-124.648936170213,37.5,-4085.54663085938
-124.632218844985,37.5,-4085.36669921875
-124.615501519757,37.5,-4082.03662109375
-124.598784194529,37.5,-4075.36669921875
-124.582066869301,37.5,-4066.4365234375
-124.565349544073,37.5,-4059.31665039062
-124.548632218845,37.5,-4051.45654296875
-124.531914893617,37.5,-4054.70678710938
-124.515197568389,37.5,-4061.83666992188
-124.498480243161,37.5,-4052.306640625
-124.481762917933,37.5,-4036.5966796875
-124.465045592705,37.5,-4026.97680664062
-124.448328267477,37.5,-4008.49682617188
-124.431610942249,37.5,-3986.5166015625
-124.414893617021,37.5,-3963.16674804688
-124.398176291793,37.5,-3934.93872070312
-124.381458966565,37.5,-3908.888671875
-124.364741641337,37.5,-3835.68872070312
-124.348024316109,37.5,-3762.11865234375
-124.331306990881,37.5,-3719.5185546875
-124.314589665654,37.5,-3675.31860351562
-124.297872340426,37.5,-3682.61865234375
-124.281155015198,37.5,-3697.25854492188
-124.26443768997,37.5,-3696.0009765625
-124.247720364742,37.5,-3694.85107421875
-124.231003039514,37.5,-3642.7109375
-124.214285714286,37.5,-3649.22094726562
-124.197568389058,37.5,-3629.11108398438
-124.18085106383,37.5,-3609.09106445312
-124.164133738602,37.5,-3591.85107421875
-124.147416413374,37.5,-3581.0009765625
-124.130699088146,37.5,-3591.14770507812
-124.113981762918,37.5,-3591.01782226562
-124.09726443769,37.5,-3575.677734375
-124.080547112462,37.5,-3579.9677734375
-124.063829787234,37.5,-3589.47778320312
-124.047112462006,37.5,-3568.51782226562
-124.030395136778,37.5,-3584.43774414062
-124.01367781155,37.5,-3603.59765625
-123.996960486322,37.5,-3618.30639648438
-123.980243161094,37.5,-3633.49633789062
-123.963525835866,37.5,-3643.37646484375
-123.946808510638,37.5,-3664.79638671875
-123.93009118541,37.5,-3687.51635742188
-123.913373860182,37.5,-3684.81640625
-123.896656534954,37.5,-3666.646484375
-123.879939209726,37.5,-3650.96630859375
-123.863221884498,37.5,-3641.89135742188
-123.846504559271,37.5,-3622.45141601562
-123.829787234043,37.5,-3591.111328125
-123.813069908815,37.5,-3559.08129882812
-123.796352583587,37.5,-3525.06127929688
-123.779635258359,37.5,-3500.06127929688
-123.762917933131,37.5,-3472.08129882812
-123.746200607903,37.5,-3450.72143554688
-123.729483282675,37.5,-3432.28125
-123.712765957447,37.5,-3407.68115234375
-123.696048632219,37.5,-3379.0712890625
-123.679331306991,37.5,-3347.72119140625
-123.662613981763,37.5,-3322.62133789062
-123.645896656535,37.5,-3294.28125
-123.629179331307,37.5,-3257.85131835938
-123.612462006079,37.5,-3157.50122070312
-123.595744680851,37.5,-3018.2197265625
-123.579027355623,37.5,-2895.77954101562
-123.562310030395,37.5,-2818.07958984375
-123.545592705167,37.5,-2717.599609375
-123.528875379939,37.5,-2590.62963867188
-123.512158054711,37.5,-2446.349609375
-123.495440729483,37.5,-2277.31958007812
-123.478723404255,37.5,-2069.94970703125
-123.462006079027,37.5,-2043.31530761719
-123.445288753799,37.5,-2204.53540039062
-123.428571428571,37.5,-2170.6953125
-123.411854103343,37.5,-2257.2353515625
-123.395136778115,37.5,-2230.76538085938
-123.378419452888,37.5,-2150.96533203125
-123.36170212766,37.5,-1996.39526367188
-123.344984802432,37.5,-1873.66528320312
-123.328267477204,37.5,-1784.48107910156
-123.311550151976,37.5,-1696.90112304688
-123.294832826748,37.5,-1631.4111328125
-123.27811550152,37.5,-1537.81115722656
-123.261398176292,37.5,-1492.13110351562
-123.244680851064,37.5,-1460.64111328125
-123.227963525836,37.5,-1344.50109863281
-123.211246200608,37.5,-1164.87109375
-123.19452887538,37.5,-1124.87280273438
-123.177811550152,37.5,-1047.09289550781
-123.161094224924,37.5,-999.512878417969
-123.144376899696,37.5,-914.132873535156
-123.127659574468,37.5,-882.772888183594
-123.11094224924,37.5,-895.352844238281
-123.094224924012,37.5,-854.162841796875
