Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	58.459093750	58.470468750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	58.459093750	58.470468750	1400.000	4000.000	1.0000
2	Waveform 1	1	68.012468750	68.028718750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	68.012468750	68.028718750	1400.000	4000.000	1.0000
3	Waveform 1	1	76.447843750	76.468968750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	76.447843750	76.468968750	1400.000	4000.000	1.0000
4	Waveform 1	1	81.685218750	81.707968750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	81.685218750	81.707968750	1400.000	4000.000	1.0000
5	Waveform 1	1	81.763218750	81.771343750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	81.763218750	81.771343750	1400.000	4000.000	1.0000
6	Waveform 1	1	86.690218750	86.704843750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	86.690218750	86.704843750	1400.000	4000.000	1.0000
7	Waveform 1	1	86.771468750	86.781218750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	86.771468750	86.781218750	1400.000	4000.000	1.0000
8	Waveform 1	1	90.291218750	90.299343750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	90.291218750	90.299343750	1400.000	4000.000	1.0000
9	Waveform 1	1	90.781968750	90.791718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	90.781968750	90.791718750	1400.000	4000.000	1.0000
10	Waveform 1	1	92.535343750	92.556468750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	92.535343750	92.556468750	1400.000	4000.000	1.0000
11	Waveform 1	1	94.087218750	94.096968750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	94.087218750	94.096968750	1400.000	4000.000	1.0000
12	Waveform 1	1	151.087343750	151.098718750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	151.087343750	151.098718750	1400.000	4000.000	1.0000
13	Waveform 1	1	275.133343750	275.165843750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	275.133343750	275.165843750	1400.000	4000.000	1.0000
14	Waveform 1	1	317.409343750	317.417468750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	317.409343750	317.417468750	1400.000	4000.000	1.0000
15	Waveform 1	1	354.168468750	354.178218750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	354.168468750	354.178218750	1400.000	4000.000	1.0000
16	Waveform 1	1	717.170718750	717.178843750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	717.170718750	717.178843750	1400.000	4000.000	1.0000
17	Waveform 1	1	855.827093750	855.836843750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	855.827093750	855.836843750	1400.000	4000.000	1.0000
18	Waveform 1	1	873.536343750	873.544468750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	873.536343750	873.544468750	1400.000	4000.000	1.0000
19	Waveform 1	1	874.077468750	874.087218750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	874.077468750	874.087218750	1400.000	4000.000	1.0000
20	Waveform 1	1	891.351218750	891.360968750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	891.351218750	891.360968750	1400.000	4000.000	1.0000
21	Waveform 1	1	922.299343750	922.307468750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	922.299343750	922.307468750	1400.000	4000.000	1.0000
22	Waveform 1	1	935.346468750	935.364343750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	935.346468750	935.364343750	1400.000	4000.000	1.0000
23	Waveform 1	1	948.902218750	948.913593750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	948.902218750	948.913593750	1400.000	4000.000	1.0000
24	Waveform 1	1	958.161468750	958.176093750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	958.161468750	958.176093750	1400.000	4000.000	1.0000
25	Waveform 1	1	961.427718750	961.442343750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	961.427718750	961.442343750	1400.000	4000.000	1.0000
26	Waveform 1	1	965.152218750	965.170093750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	965.152218750	965.170093750	1400.000	4000.000	1.0000
27	Waveform 1	1	1018.694343750	1018.707343750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	1018.694343750	1018.707343750	1400.000	4000.000	1.0000
28	Waveform 1	1	1078.424468750	1078.432593750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	1078.424468750	1078.432593750	1400.000	4000.000	1.0000
29	Waveform 1	1	1107.043968750	1107.052093750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	1107.043968750	1107.052093750	1400.000	4000.000	1.0000
30	Waveform 1	1	1221.419593750	1221.427718750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	1221.419593750	1221.427718750	1400.000	4000.000	1.0000
31	Waveform 1	1	1225.657593750	1225.665718750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	1225.657593750	1225.665718750	1400.000	4000.000	1.0000
32	Waveform 1	1	1226.263718750	1226.276718750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	1226.263718750	1226.276718750	1400.000	4000.000	1.0000
33	Waveform 1	1	1235.794343750	1235.812218750	1400.000	4000.000	1.0000
33	Spectrogram 1	1	1235.794343750	1235.812218750	1400.000	4000.000	1.0000
34	Waveform 1	1	1238.525968750	1238.543843750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	1238.525968750	1238.543843750	1400.000	4000.000	1.0000
35	Waveform 1	1	1241.652468750	1241.667093750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	1241.652468750	1241.667093750	1400.000	4000.000	1.0000
36	Waveform 1	1	1242.614468750	1242.625843750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	1242.614468750	1242.625843750	1400.000	4000.000	1.0000
37	Waveform 1	1	1245.004843750	1245.016218750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	1245.004843750	1245.016218750	1400.000	4000.000	1.0000
38	Waveform 1	1	1258.755593750	1258.766968750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	1258.755593750	1258.766968750	1400.000	4000.000	1.0000
39	Waveform 1	1	1273.586968750	1273.598343750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	1273.586968750	1273.598343750	1400.000	4000.000	1.0000
40	Waveform 1	1	1289.914968750	1289.926343750	1400.000	4000.000	1.0000
40	Spectrogram 1	1	1289.914968750	1289.926343750	1400.000	4000.000	1.0000
41	Waveform 1	1	1298.358468750	1298.371468750	1400.000	4000.000	1.0000
41	Spectrogram 1	1	1298.358468750	1298.371468750	1400.000	4000.000	1.0000
42	Waveform 1	1	1299.877843750	1299.903843750	1400.000	4000.000	1.0000
42	Spectrogram 1	1	1299.877843750	1299.903843750	1400.000	4000.000	1.0000
43	Waveform 1	1	1302.596468750	1302.609468750	1400.000	4000.000	1.0000
43	Spectrogram 1	1	1302.596468750	1302.609468750	1400.000	4000.000	1.0000
44	Waveform 1	1	1302.724843750	1302.734593750	1400.000	4000.000	1.0000
44	Spectrogram 1	1	1302.724843750	1302.734593750	1400.000	4000.000	1.0000
45	Waveform 1	1	1303.732343750	1303.742093750	1400.000	4000.000	1.0000
45	Spectrogram 1	1	1303.732343750	1303.742093750	1400.000	4000.000	1.0000
46	Waveform 1	1	1304.980343750	1304.990093750	1400.000	4000.000	1.0000
46	Spectrogram 1	1	1304.980343750	1304.990093750	1400.000	4000.000	1.0000
47	Waveform 1	1	1306.122718750	1306.140593750	1400.000	4000.000	1.0000
47	Spectrogram 1	1	1306.122718750	1306.140593750	1400.000	4000.000	1.0000
48	Waveform 1	1	1329.269218750	1329.282218750	1400.000	4000.000	1.0000
48	Spectrogram 1	1	1329.269218750	1329.282218750	1400.000	4000.000	1.0000
49	Waveform 1	1	1335.340218750	1335.351593750	1400.000	4000.000	1.0000
49	Spectrogram 1	1	1335.340218750	1335.351593750	1400.000	4000.000	1.0000
50	Waveform 1	1	1345.558218750	1345.579343750	1400.000	4000.000	1.0000
50	Spectrogram 1	1	1345.558218750	1345.579343750	1400.000	4000.000	1.0000
51	Waveform 1	1	1352.877218750	1352.891843750	1400.000	4000.000	1.0000
51	Spectrogram 1	1	1352.877218750	1352.891843750	1400.000	4000.000	1.0000
52	Waveform 1	1	1353.093343750	1353.111218750	1400.000	4000.000	1.0000
52	Spectrogram 1	1	1353.093343750	1353.111218750	1400.000	4000.000	1.0000
53	Waveform 1	1	1356.197093750	1356.206843750	1400.000	4000.000	1.0000
53	Spectrogram 1	1	1356.197093750	1356.206843750	1400.000	4000.000	1.0000
54	Waveform 1	1	1359.292718750	1359.312218750	1400.000	4000.000	1.0000
54	Spectrogram 1	1	1359.292718750	1359.312218750	1400.000	4000.000	1.0000
55	Waveform 1	1	1391.082593750	1391.103718750	1400.000	4000.000	1.0000
55	Spectrogram 1	1	1391.082593750	1391.103718750	1400.000	4000.000	1.0000
56	Waveform 1	1	1408.551343750	1408.567593750	1400.000	4000.000	1.0000
56	Spectrogram 1	1	1408.551343750	1408.567593750	1400.000	4000.000	1.0000
57	Waveform 1	1	1429.281468750	1429.292843750	1400.000	4000.000	1.0000
57	Spectrogram 1	1	1429.281468750	1429.292843750	1400.000	4000.000	1.0000
58	Waveform 1	1	1441.852468750	1441.862218750	1400.000	4000.000	1.0000
58	Spectrogram 1	1	1441.852468750	1441.862218750	1400.000	4000.000	1.0000
59	Waveform 1	1	1451.727593750	1451.751968750	1400.000	4000.000	1.0000
59	Spectrogram 1	1	1451.727593750	1451.751968750	1400.000	4000.000	1.0000
60	Waveform 1	1	1455.780343750	1455.798218750	1400.000	4000.000	1.0000
60	Spectrogram 1	1	1455.780343750	1455.798218750	1400.000	4000.000	1.0000
61	Waveform 1	1	1457.900968750	1457.918843750	1400.000	4000.000	1.0000
61	Spectrogram 1	1	1457.900968750	1457.918843750	1400.000	4000.000	1.0000
62	Waveform 1	1	1536.817468750	1536.828843750	1400.000	4000.000	1.0000
62	Spectrogram 1	1	1536.817468750	1536.828843750	1400.000	4000.000	1.0000
63	Waveform 1	1	1550.654343750	1550.662468750	1400.000	4000.000	1.0000
63	Spectrogram 1	1	1550.654343750	1550.662468750	1400.000	4000.000	1.0000
64	Waveform 1	1	1557.729593750	1557.737718750	1400.000	4000.000	1.0000
64	Spectrogram 1	1	1557.729593750	1557.737718750	1400.000	4000.000	1.0000
65	Waveform 1	1	1602.421968750	1602.436593750	1400.000	4000.000	1.0000
65	Spectrogram 1	1	1602.421968750	1602.436593750	1400.000	4000.000	1.0000
66	Waveform 1	1	1627.003343750	1627.016343750	1400.000	4000.000	1.0000
66	Spectrogram 1	1	1627.003343750	1627.016343750	1400.000	4000.000	1.0000
67	Waveform 1	1	1629.806468750	1629.816218750	1400.000	4000.000	1.0000
67	Spectrogram 1	1	1629.806468750	1629.816218750	1400.000	4000.000	1.0000
68	Waveform 1	1	1678.187593750	1678.197343750	1400.000	4000.000	1.0000
68	Spectrogram 1	1	1678.187593750	1678.197343750	1400.000	4000.000	1.0000
69	Waveform 1	1	1688.061093750	1688.080593750	1400.000	4000.000	1.0000
69	Spectrogram 1	1	1688.061093750	1688.080593750	1400.000	4000.000	1.0000
70	Waveform 1	1	1850.694343750	1850.707343750	1400.000	4000.000	1.0000
70	Spectrogram 1	1	1850.694343750	1850.707343750	1400.000	4000.000	1.0000
71	Waveform 1	1	1851.540968750	1851.552343750	1400.000	4000.000	1.0000
71	Spectrogram 1	1	1851.540968750	1851.552343750	1400.000	4000.000	1.0000
72	Waveform 1	1	1906.504968750	1906.514718750	1400.000	4000.000	1.0000
72	Spectrogram 1	1	1906.504968750	1906.514718750	1400.000	4000.000	1.0000
73	Waveform 1	1	1936.754343750	1936.762468750	1400.000	4000.000	1.0000
73	Spectrogram 1	1	1936.754343750	1936.762468750	1400.000	4000.000	1.0000
74	Waveform 1	1	1945.565093750	1945.573218750	1400.000	4000.000	1.0000
