Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	57979.676343750	57979.686093750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	57979.676343750	57979.686093750	1400.000	4000.000	1.0000
2	Waveform 1	1	57991.023718750	57991.033468750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	57991.023718750	57991.033468750	1400.000	4000.000	1.0000
3	Waveform 1	1	58146.469593750	58146.487468750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	58146.469593750	58146.487468750	1400.000	4000.000	1.0000
4	Waveform 1	1	58148.804718750	58148.833968750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	58148.804718750	58148.833968750	1400.000	4000.000	1.0000
5	Waveform 1	1	58183.771468750	58183.781218750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	58183.771468750	58183.781218750	1400.000	4000.000	1.0000
6	Waveform 1	1	58187.265218750	58187.283093750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	58187.265218750	58187.283093750	1400.000	4000.000	1.0000
7	Waveform 1	1	58188.136218750	58188.150843750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	58188.136218750	58188.150843750	1400.000	4000.000	1.0000
8	Waveform 1	1	58295.891593750	58295.901343750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	58295.891593750	58295.901343750	1400.000	4000.000	1.0000
9	Waveform 1	1	58297.641718750	58297.649843750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	58297.641718750	58297.649843750	1400.000	4000.000	1.0000
10	Waveform 1	1	58299.113968750	58299.122093750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	58299.113968750	58299.122093750	1400.000	4000.000	1.0000
11	Waveform 1	1	58367.134843750	58367.149468750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	58367.134843750	58367.149468750	1400.000	4000.000	1.0000
12	Waveform 1	1	58372.195093750	58372.204843750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	58372.195093750	58372.204843750	1400.000	4000.000	1.0000
13	Waveform 1	1	58388.072968750	58388.102218750	1400.000	4000.000	0.7222
13	Spectrogram 1	1	58388.072968750	58388.102218750	1400.000	4000.000	0.7222
14	Waveform 1	1	58450.030968750	58450.039093750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	58450.030968750	58450.039093750	1400.000	4000.000	1.0000
15	Waveform 1	1	58468.915093750	58468.924843750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	58468.915093750	58468.924843750	1400.000	4000.000	1.0000
16	Waveform 1	1	58490.038468750	58490.061218750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	58490.038468750	58490.061218750	1400.000	4000.000	1.0000
17	Waveform 1	1	58490.116468750	58490.132718750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	58490.116468750	58490.132718750	1400.000	4000.000	1.0000
18	Waveform 1	1	58493.475343750	58493.483468750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	58493.475343750	58493.483468750	1400.000	4000.000	1.0000
19	Waveform 1	1	58683.636093750	58683.645843750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	58683.636093750	58683.645843750	1400.000	4000.000	1.0000
20	Waveform 1	1	58693.831343750	58693.841093750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	58693.831343750	58693.841093750	1400.000	4000.000	1.0000
21	Waveform 1	1	58696.933468750	58696.948093750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	58696.933468750	58696.948093750	1400.000	4000.000	1.0000
22	Waveform 1	1	58704.621343750	58704.629468750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	58704.621343750	58704.629468750	1400.000	4000.000	1.0000
23	Waveform 1	1	58704.663593750	58704.694468750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	58704.663593750	58704.694468750	1400.000	4000.000	1.0000
24	Waveform 1	1	58733.749468750	58733.759218750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	58733.749468750	58733.759218750	1400.000	4000.000	1.0000
25	Waveform 1	1	58740.411968750	58740.436343750	1400.000	4000.000	1.0000
