Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	1253.945593750	1253.963468750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	1253.945593750	1253.963468750	1400.000	4000.000	1.0000
2	Waveform 1	1	2461.457093750	2461.478218750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	2461.457093750	2461.478218750	1400.000	4000.000	1.0000
3	Waveform 1	1	2583.462093750	2583.475093750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	2583.462093750	2583.475093750	1400.000	4000.000	1.0000
4	Waveform 1	1	4095.375093750	4095.383218750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	4095.375093750	4095.383218750	1400.000	4000.000	1.0000
5	Waveform 1	1	4508.051968750	4508.066593750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	4508.051968750	4508.066593750	1400.000	4000.000	1.0000
6	Waveform 1	1	10716.990093750	10716.998218750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	10716.990093750	10716.998218750	1400.000	4000.000	1.0000
7	Waveform 1	1	13154.711093750	13154.727343750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	13154.711093750	13154.727343750	1400.000	4000.000	1.0000
8	Waveform 1	1	15952.839218750	15952.853843750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	15952.839218750	15952.853843750	1400.000	4000.000	1.0000
9	Waveform 1	1	16321.728843750	16321.738593750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	16321.728843750	16321.738593750	1400.000	4000.000	1.0000
10	Waveform 1	1	16521.200843750	16521.210593750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	16521.200843750	16521.210593750	1400.000	4000.000	1.0000
11	Waveform 1	1	17318.867843750	17318.877593750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	17318.867843750	17318.877593750	1400.000	4000.000	1.0000
12	Waveform 1	1	17319.098593750	17319.108343750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	17319.098593750	17319.108343750	1400.000	4000.000	1.0000
13	Waveform 1	1	17606.530218750	17606.543218750	1400.000	4000.000	1.0000
