Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	0.204468750	0.220718750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	0.204468750	0.220718750	1400.000	4000.000	1.0000
2	Waveform 1	1	1.829468750	1.842468750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	1.829468750	1.842468750	1400.000	4000.000	1.0000
3	Waveform 1	1	4.073593750	4.096343750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	4.073593750	4.096343750	1400.000	4000.000	1.0000
4	Waveform 1	1	18.042093750	18.061593750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	18.042093750	18.061593750	1400.000	4000.000	1.0000
5	Waveform 1	1	18.284218750	18.293968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	18.284218750	18.293968750	1400.000	4000.000	1.0000
6	Waveform 1	1	33.580343750	33.607968750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	33.580343750	33.607968750	1400.000	4000.000	1.0000
7	Waveform 1	1	50.555093750	50.569718750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	50.555093750	50.569718750	1400.000	4000.000	1.0000
8	Waveform 1	1	74.033093750	74.049343750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	74.033093750	74.049343750	1400.000	4000.000	1.0000
9	Waveform 1	1	86.121468750	86.137718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	86.121468750	86.137718750	1400.000	4000.000	1.0000
10	Waveform 1	1	94.966343750	94.976093750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	94.966343750	94.976093750	1400.000	4000.000	1.0000
11	Waveform 1	1	95.102843750	95.114218750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	95.102843750	95.114218750	1400.000	4000.000	1.0000
12	Waveform 1	1	95.276718750	95.286468750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	95.276718750	95.286468750	1400.000	4000.000	1.0000
13	Waveform 1	1	95.320593750	95.335218750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	95.320593750	95.335218750	1400.000	4000.000	1.0000
14	Waveform 1	1	95.374218750	95.382343750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	95.374218750	95.382343750	1400.000	4000.000	1.0000
15	Waveform 1	1	95.528593750	95.536718750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	95.528593750	95.536718750	1400.000	4000.000	1.0000
16	Waveform 1	1	95.648843750	95.658593750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	95.648843750	95.658593750	1400.000	4000.000	1.0000
17	Waveform 1	1	95.712218750	95.720343750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	95.712218750	95.720343750	1400.000	4000.000	1.0000
18	Waveform 1	1	95.785343750	95.798343750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	95.785343750	95.798343750	1400.000	4000.000	1.0000
19	Waveform 1	1	95.861718750	95.873093750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	95.861718750	95.873093750	1400.000	4000.000	1.0000
20	Waveform 1	1	98.001843750	98.014843750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	98.001843750	98.014843750	1400.000	4000.000	1.0000
21	Waveform 1	1	98.640468750	98.651843750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	98.640468750	98.651843750	1400.000	4000.000	1.0000
22	Waveform 1	1	105.137218750	105.150218750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	105.137218750	105.150218750	1400.000	4000.000	1.0000
23	Waveform 1	1	105.194093750	105.205468750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	105.194093750	105.205468750	1400.000	4000.000	1.0000
24	Waveform 1	1	105.512593750	105.525593750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	105.512593750	105.525593750	1400.000	4000.000	1.0000
25	Waveform 1	1	105.574343750	105.592218750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	105.574343750	105.592218750	1400.000	4000.000	1.0000
26	Waveform 1	1	105.640968750	105.658843750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	105.640968750	105.658843750	1400.000	4000.000	1.0000
27	Waveform 1	1	105.702718750	105.720593750	1400.000	4000.000	1.0000
