Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	491.534593750	491.545968750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	491.534593750	491.545968750	1400.000	4000.000	1.0000
2	Waveform 1	1	5866.425218750	5866.434968750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	5866.425218750	5866.434968750	1400.000	4000.000	1.0000
3	Waveform 1	1	8501.096218750	8501.104343750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	8501.096218750	8501.104343750	1400.000	4000.000	1.0000
4	Waveform 1	1	8501.273343750	8501.281468750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	8501.273343750	8501.281468750	1400.000	4000.000	1.0000
5	Waveform 1	1	8501.512218750	8501.521968750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	8501.512218750	8501.521968750	1400.000	4000.000	1.0000
6	Waveform 1	1	8508.548468750	8508.556593750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	8508.548468750	8508.556593750	1400.000	4000.000	1.0000
7	Waveform 1	1	8560.771093750	8560.793843750	1400.000	4000.000	0.7143
7	Spectrogram 1	1	8560.771093750	8560.793843750	1400.000	4000.000	0.7143
8	Waveform 1	1	8560.901093750	8560.910843750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	8560.901093750	8560.910843750	1400.000	4000.000	1.0000
9	Waveform 1	1	8561.258593750	8561.266718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	8561.258593750	8561.266718750	1400.000	4000.000	1.0000
10	Waveform 1	1	8561.421093750	8561.429218750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	8561.421093750	8561.429218750	1400.000	4000.000	1.0000
11	Waveform 1	1	8667.502718750	8667.512468750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	8667.502718750	8667.512468750	1400.000	4000.000	1.0000
12	Waveform 1	1	8667.579093750	8667.590468750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	8667.579093750	8667.590468750	1400.000	4000.000	1.0000
13	Waveform 1	1	8703.525718750	8703.554968750	1400.000	4000.000	0.7222
13	Spectrogram 1	1	8703.525718750	8703.554968750	1400.000	4000.000	0.7222
14	Waveform 1	1	8703.736968750	8703.764593750	1400.000	4000.000	0.8824
14	Spectrogram 1	1	8703.736968750	8703.764593750	1400.000	4000.000	0.8824
15	Waveform 1	1	8703.897843750	8703.909218750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	8703.897843750	8703.909218750	1400.000	4000.000	1.0000
16	Waveform 1	1	8746.155968750	8746.180343750	1400.000	4000.000	0.7333
16	Spectrogram 1	1	8746.155968750	8746.180343750	1400.000	4000.000	0.7333
17	Waveform 1	1	8746.220968750	8746.229093750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	8746.220968750	8746.229093750	1400.000	4000.000	1.0000
18	Waveform 1	1	8805.266968750	8805.276718750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	8805.266968750	8805.276718750	1400.000	4000.000	1.0000
19	Waveform 1	1	8805.822718750	8805.832468750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	8805.822718750	8805.832468750	1400.000	4000.000	1.0000
20	Waveform 1	1	8805.938093750	8805.946218750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	8805.938093750	8805.946218750	1400.000	4000.000	1.0000
21	Waveform 1	1	8808.872843750	8808.884218750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	8808.872843750	8808.884218750	1400.000	4000.000	1.0000
22	Waveform 1	1	8809.482218750	8809.506593750	1400.000	4000.000	0.8667
22	Spectrogram 1	1	8809.482218750	8809.506593750	1400.000	4000.000	0.8667
23	Waveform 1	1	8813.151468750	8813.161218750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	8813.151468750	8813.161218750	1400.000	4000.000	1.0000
24	Waveform 1	1	8813.837218750	8813.846968750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	8813.837218750	8813.846968750	1400.000	4000.000	1.0000
