Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	40.254218750	40.263968750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	40.254218750	40.263968750	1400.000	4000.000	1.0000
2	Waveform 1	1	48.177718750	48.185843750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	48.177718750	48.185843750	1400.000	4000.000	1.0000
3	Waveform 1	1	49.058468750	49.073093750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	49.058468750	49.073093750	1400.000	4000.000	1.0000
4	Waveform 1	1	53.455718750	53.468718750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	53.455718750	53.468718750	1400.000	4000.000	1.0000
5	Waveform 1	1	57.050218750	57.066468750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	57.050218750	57.066468750	1400.000	4000.000	1.0000
6	Waveform 1	1	57.222468750	57.253343750	1400.000	4000.000	0.7895
6	Spectrogram 1	1	57.222468750	57.253343750	1400.000	4000.000	0.7895
7	Waveform 1	1	58.147093750	58.161718750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	58.147093750	58.161718750	1400.000	4000.000	1.0000
8	Waveform 1	1	60.485468750	60.508218750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	60.485468750	60.508218750	1400.000	4000.000	1.0000
9	Waveform 1	1	63.194343750	63.205718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	63.194343750	63.205718750	1400.000	4000.000	1.0000
10	Waveform 1	1	63.652593750	63.665593750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	63.652593750	63.665593750	1400.000	4000.000	1.0000
11	Waveform 1	1	69.559468750	69.567593750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	69.559468750	69.567593750	1400.000	4000.000	1.0000
12	Waveform 1	1	71.979093750	71.987218750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	71.979093750	71.987218750	1400.000	4000.000	1.0000
13	Waveform 1	1	90.747843750	90.772218750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	90.747843750	90.772218750	1400.000	4000.000	1.0000
14	Waveform 1	1	95.790218750	95.801593750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	95.790218750	95.801593750	1400.000	4000.000	1.0000
15	Waveform 1	1	102.876843750	102.884968750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	102.876843750	102.884968750	1400.000	4000.000	1.0000
16	Waveform 1	1	109.090843750	109.100593750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	109.090843750	109.100593750	1400.000	4000.000	1.0000
17	Waveform 1	1	122.995968750	123.007343750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	122.995968750	123.007343750	1400.000	4000.000	1.0000
18	Waveform 1	1	126.606718750	126.626218750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	126.606718750	126.626218750	1400.000	4000.000	1.0000
19	Waveform 1	1	135.113593750	135.128218750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	135.113593750	135.128218750	1400.000	4000.000	1.0000
20	Waveform 1	1	137.398343750	137.411343750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	137.398343750	137.411343750	1400.000	4000.000	1.0000
21	Waveform 1	1	137.445468750	137.456843750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	137.445468750	137.456843750	1400.000	4000.000	1.0000
22	Waveform 1	1	147.250718750	147.270218750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	147.250718750	147.270218750	1400.000	4000.000	1.0000
23	Waveform 1	1	147.450593750	147.463593750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	147.450593750	147.463593750	1400.000	4000.000	1.0000
24	Waveform 1	1	167.160218750	167.173218750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	167.160218750	167.173218750	1400.000	4000.000	1.0000
25	Waveform 1	1	172.082343750	172.100218750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	172.082343750	172.100218750	1400.000	4000.000	1.0000
26	Waveform 1	1	175.676843750	175.688218750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	175.676843750	175.688218750	1400.000	4000.000	1.0000
27	Waveform 1	1	180.637968750	180.652593750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	180.637968750	180.652593750	1400.000	4000.000	1.0000
28	Waveform 1	1	186.107718750	186.119093750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	186.107718750	186.119093750	1400.000	4000.000	1.0000
29	Waveform 1	1	189.713593750	189.739593750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	189.713593750	189.739593750	1400.000	4000.000	1.0000
30	Waveform 1	1	248.182718750	248.190843750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	248.182718750	248.190843750	1400.000	4000.000	1.0000
31	Waveform 1	1	265.115218750	265.126593750	1400.000	4000.000	1.0000
31	Spectrogram 1	1	265.115218750	265.126593750	1400.000	4000.000	1.0000
32	Waveform 1	1	265.172093750	265.186718750	1400.000	4000.000	1.0000
32	Spectrogram 1	1	265.172093750	265.186718750	1400.000	4000.000	1.0000
33	Waveform 1	1	410.711968750	410.731468750	1400.000	4000.000	1.0000
33	Spectrogram 1	1	410.711968750	410.731468750	1400.000	4000.000	1.0000
34	Waveform 1	1	514.557593750	514.565718750	1400.000	4000.000	1.0000
34	Spectrogram 1	1	514.557593750	514.565718750	1400.000	4000.000	1.0000
35	Waveform 1	1	525.952093750	525.963468750	1400.000	4000.000	1.0000
35	Spectrogram 1	1	525.952093750	525.963468750	1400.000	4000.000	1.0000
36	Waveform 1	1	557.200843750	557.226843750	1400.000	4000.000	1.0000
36	Spectrogram 1	1	557.200843750	557.226843750	1400.000	4000.000	1.0000
37	Waveform 1	1	557.665593750	557.680218750	1400.000	4000.000	1.0000
37	Spectrogram 1	1	557.665593750	557.680218750	1400.000	4000.000	1.0000
38	Waveform 1	1	610.292843750	610.312343750	1400.000	4000.000	1.0000
38	Spectrogram 1	1	610.292843750	610.312343750	1400.000	4000.000	1.0000
39	Waveform 1	1	610.380593750	610.388718750	1400.000	4000.000	1.0000
39	Spectrogram 1	1	610.380593750	610.388718750	1400.000	4000.000	1.0000
40	Waveform 1	1	610.439093750	610.452093750	1400.000	4000.000	1.0000
40	Spectrogram 1	1	610.439093750	610.452093750	1400.000	4000.000	1.0000
41	Waveform 1	1	638.291593750	638.304593750	1400.000	4000.000	1.0000
41	Spectrogram 1	1	638.291593750	638.304593750	1400.000	4000.000	1.0000
42	Waveform 1	1	699.170593750	699.180343750	1400.000	4000.000	1.0000
42	Spectrogram 1	1	699.170593750	699.180343750	1400.000	4000.000	1.0000
43	Waveform 1	1	739.727343750	739.750093750	1400.000	4000.000	1.0000
43	Spectrogram 1	1	739.727343750	739.750093750	1400.000	4000.000	1.0000
44	Waveform 1	1	753.570718750	753.586968750	1400.000	4000.000	1.0000
44	Spectrogram 1	1	753.570718750	753.586968750	1400.000	4000.000	1.0000
45	Waveform 1	1	767.870718750	767.883718750	1400.000	4000.000	1.0000
45	Spectrogram 1	1	767.870718750	767.883718750	1400.000	4000.000	1.0000
46	Waveform 1	1	806.514843750	806.544093750	1400.000	4000.000	1.0000
46	Spectrogram 1	1	806.514843750	806.544093750	1400.000	4000.000	1.0000
47	Waveform 1	1	807.392343750	807.405343750	1400.000	4000.000	1.0000
47	Spectrogram 1	1	807.392343750	807.405343750	1400.000	4000.000	1.0000
48	Waveform 1	1	807.871718750	807.894468750	1400.000	4000.000	1.0000
48	Spectrogram 1	1	807.871718750	807.894468750	1400.000	4000.000	1.0000
49	Waveform 1	1	808.063468750	808.091093750	1400.000	4000.000	1.0000
49	Spectrogram 1	1	808.063468750	808.091093750	1400.000	4000.000	1.0000
50	Waveform 1	1	853.714593750	853.729218750	1400.000	4000.000	1.0000
50	Spectrogram 1	1	853.714593750	853.729218750	1400.000	4000.000	1.0000
51	Waveform 1	1	858.721218750	858.735843750	1400.000	4000.000	1.0000
51	Spectrogram 1	1	858.721218750	858.735843750	1400.000	4000.000	1.0000
52	Waveform 1	1	868.248593750	868.272968750	1400.000	4000.000	1.0000
52	Spectrogram 1	1	868.248593750	868.272968750	1400.000	4000.000	1.0000
53	Waveform 1	1	873.234093750	873.250343750	1400.000	4000.000	1.0000
53	Spectrogram 1	1	873.234093750	873.250343750	1400.000	4000.000	1.0000
54	Waveform 1	1	888.736593750	888.754468750	1400.000	4000.000	1.0000
54	Spectrogram 1	1	888.736593750	888.754468750	1400.000	4000.000	1.0000
55	Waveform 1	1	905.500093750	905.516343750	1400.000	4000.000	1.0000
55	Spectrogram 1	1	905.500093750	905.516343750	1400.000	4000.000	1.0000
56	Waveform 1	1	933.911593750	933.926218750	1400.000	4000.000	1.0000
56	Spectrogram 1	1	933.911593750	933.926218750	1400.000	4000.000	1.0000
57	Waveform 1	1	978.683593750	978.693343750	1400.000	4000.000	1.0000
57	Spectrogram 1	1	978.683593750	978.693343750	1400.000	4000.000	1.0000
58	Waveform 1	1	991.802218750	991.824968750	1400.000	4000.000	1.0000
58	Spectrogram 1	1	991.802218750	991.824968750	1400.000	4000.000	1.0000
59	Waveform 1	1	1001.846343750	1001.864218750	1400.000	4000.000	1.0000
59	Spectrogram 1	1	1001.846343750	1001.864218750	1400.000	4000.000	1.0000
60	Waveform 1	1	1012.941843750	1012.962968750	1400.000	4000.000	1.0000
60	Spectrogram 1	1	1012.941843750	1012.962968750	1400.000	4000.000	1.0000
61	Waveform 1	1	1018.959218750	1018.970593750	1400.000	4000.000	1.0000
61	Spectrogram 1	1	1018.959218750	1018.970593750	1400.000	4000.000	1.0000
62	Waveform 1	1	1233.057843750	1233.065968750	1400.000	4000.000	1.0000
62	Spectrogram 1	1	1233.057843750	1233.065968750	1400.000	4000.000	1.0000
63	Waveform 1	1	1236.767718750	1236.783968750	1400.000	4000.000	1.0000
63	Spectrogram 1	1	1236.767718750	1236.783968750	1400.000	4000.000	1.0000
64	Waveform 1	1	1240.427218750	1240.436968750	1400.000	4000.000	1.0000
64	Spectrogram 1	1	1240.427218750	1240.436968750	1400.000	4000.000	1.0000
65	Waveform 1	1	1245.370468750	1245.381843750	1400.000	4000.000	1.0000
